InventoryID,BorrowingLanguageGlottocode,BorrowedSound,SourceLanguageGlottocode,OnlyInLoanwords,Result,NewDistinction,Comments.x,Verified,Glottocode,LanguageName,BibTexKey,Filename,Contributor,Comments.y,PhoibleID,ClosestNeighbor,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea,is_rhotic,to_analysis,another_native_rhotic,distinction_in_donor,source,rhotic_comment
181,para1311,r,unknown,yes,to be checked,to be checked,(loan),NA,para1311,Paraguayan Guaraní,"GregoresSuarez1967,Lunt1973,Uldall1956",gug_SPA1979_phon.pdf,Steven Moran,NA,119,NA,tupi1275,para1319,Paraguayan Guaraní,FALSE,language,safe,-25.60551,-57.08816,gug,NA,NA,0,0,1,AR PY,para1311,gug,South America,TRUE,Yes,Yes,Yes,GregoresSuarez1967: 91,
193,sana1291,rː,unknown,yes,to be checked,to be checked,NA,NA,sana1291,Sanandaj,khan2009sanandaj,NA,KurdistanDB,NA,NA,NA,afro1255,hula1244,Sanandaj,FALSE,dialect,safe,NA,NA,NA,NA,NA,0,0,0,NA,sana1291,NA,Eurasia,TRUE,Yes,Yes,Yes,khan2009sanandaj: 16,See mccarus2009kurdish: 592 for rhotic distinction in Kurdish
209,sout2991,r,stan1288,yes,to be checked,to be checked,(loan),NA,sout2991,South Bolivian Quechua,"Bills_etal1969,Lastra1968,Lastra1968,Parker1969",quh_SPA1979_phon.pdf,Steven Moran,NA,104,NA,quec1387,boli1262,South Bolivian Quechua,FALSE,language,safe,-20.9201,-66.3331,quh,NA,NA,0,0,6,AR BO CL,sout2991,quh,South America,TRUE,Yes,Yes,Yes,SPA: 465,
210,sout2982,ɾ,unknown,yes,to be checked,to be checked,(loan),NA,sout2982,Southeastern Pomo,Moshinsky1974,pom_SPA1979_phon.pdf,Steven Moran,NA,89,NA,pomo1273,pomo1273,Southeastern Pomo,FALSE,language,extinct,38.9354,-122.599,pom,NA,NA,0,0,0,US,sout2982,pom,North America,TRUE,Yes,No,,SPA: 426-427,
211,sout2961,r,unknown,yes,to be checked,to be checked,(loan),NA,sout2961,Southern Tiwa,Trager1971,tix_SPA1979_phon.pdf,Steven Moran,NA,92,NA,kiow1265,tiwa1255,Southern Tiwa,FALSE,language,definitely endangered,34.7873,-106.661,tix,NA,NA,0,0,2,US,sout2961,tix,North America,TRUE,Yes,No,,SPA: 436-438,
216,sule1243,r,unknown,yes,to be checked,to be checked,NA,NA,sule1243,Suleimaniya Neo-Aramaic,khan2004sulemaniyya,NA,KurdistanDB,NA,NA,NA,afro1255,hula1244,Suleimaniya,FALSE,dialect,safe,NA,NA,NA,NA,NA,0,0,0,NA,sule1243,NA,Eurasia,TRUE,Yes,Yes,Yes,khan2004sulemaniyya: 19-21,
233,ticu1245,ɾ,unknown,unknown,to be checked,to be checked,"(loan,allo) spaAllophoneDescription: [l]",NA,ticu1245,Ticuna,"Anderson1959,Anderson1962",tca_SPA1979_phon.pdf,Steven Moran,NA,115,NA,ticu1244,ticu1244,Ticuna,FALSE,language,vulnerable,-3.66289,-69.8723,tca,NA,NA,0,0,0,BR CO PE,ticu1245,tca,South America,TRUE,No,,,SPA: 489-491,Not sure if borrowed
247,tzel1254,r,unknown,yes,to be checked,to be checked,(loan),NA,tzel1254,Tzeltal,Kaufman1971,tzh_SPA1979_phon.pdf,Steven Moran,NA,86,NA,maya1287,tzel1253,Tzeltal,FALSE,language,safe,16.6384,-92.2786,tzh,NA,NA,0,0,2,MX,tzel1254,tzh,North America,TRUE,Yes,Yes,Yes,Kaufman1971: 13,
267,gura1251,ʁ,unknown,yes,to be checked,to be checked,NA,NA,gura1251,Zarda Gorani,mahmoudveysi2013zardagorani,NA,KurdistanDB,NA,NA,NA,indo1319,gora1267,Gurani,FALSE,language,vulnerable,36.8377,44.4956,hac,NA,NA,0,0,6,IQ IR,gura1251,hac,Eurasia,TRUE,Yes,Yes,Yes,mahmoudveysi2013zardagorani: 12-14,
273,hind1269,ʁ,unknown,yes,to be checked,to be checked,(loan),NA,hind1269,Hindi,"Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969",hin_SPA1979_phon.pdf,Steven Moran,NA,176,NA,indo1319,hind1270,Hindi,FALSE,language,safe,25,77,hin,NA,NA,0,0,4,BD BT IN NP,hind1269,hin,Eurasia,TRUE,Yes,Yes,Yes,SPA: 152-154,From Arabic (shukla2000hindi: 37)
273,hind1269,ɽ̃,unknown,unknown,to be checked,to be checked,"(allo,loan)",NA,hind1269,Hindi,"Kelkar1968,VermeerSharma1966,Pinnow1953,Srivastava1969",hin_SPA1979_phon.pdf,Steven Moran,NA,176,NA,indo1319,hind1270,Hindi,FALSE,language,safe,25,77,hin,NA,NA,0,0,4,BD BT IN NP,hind1269,hin,Eurasia,TRUE,Yes,Yes,Yes,Kelkar1968: 36-37,"From sanskrit, where it is an allophone of /ɳ/"
276,aleu1260,r,unknown,yes,to be checked,to be checked,(loan),NA,aleu1260,Aleut,"Bergsland1956,Bergsland1959,Menovshchikov1968,Jakobson1944",ale_SPA1979_phon.pdf,Steven Moran,NA,61,NA,eski1264,eski1264,Aleut,FALSE,language,definitely endangered,52.1228,-174.29,ale,NA,NA,0,0,2,RU US,aleu1260,ale,North America,TRUE,Yes,Yes,No,SPA: 352,Description not so clear
279,sanm1295,r,stan1288,yes,to be checked,to be checked,(loan),NA,sanm1295,San Miguel El Grande Mixtec,HunterPike1969,mig_SPA1979_phon.pdf,Steven Moran,NA,100,NA,otom1299,west2824,San Miguel El Grande Mixtec,FALSE,language,vulnerable,17.0777,-97.5432,mig,NA,NA,0,0,4,MX,sanm1295,mig,North America,TRUE,Yes,No,,SPA: 456-457,
283,taga1270,ɾ,unknown,unknown,to be checked,to be checked,"(loan,surface)",NA,taga1270,Tagalog,"SchachterOtanes1972,Bloomfield1917",tgl_SPA1979_phon.pdf,Steven Moran,NA,37,NA,aust1307,taga1269,Tagalog,FALSE,language,safe,14.06,121.747,tgl,NA,NA,0,0,8,PH,taga1270,tgl,Papunesia,TRUE,No,,,SPA: 302-303,Not sure if a new phoneme
313,nene1249,r,unknown,unknown,to be checked,to be checked,NA,NA,nene1249,Tundra Nenets,nikolaeva2014tundranenets,NA,Aigul Zakirova,NA,NA,NA,ural1272,nene1251,Tundra Nenets,FALSE,language,definitely endangered,66.1775,71.0234,yrk,NA,NA,0,0,3,RU,nene1249,yrk,Eurasia,TRUE,No,,,nikolaeva2014tundranenets: 19,Not new phoneme
